status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date,Lat,Long,formatted_address,location_type
for_sale,3150000,3,2,,"139 E 66th St Apt 5S, New York City, NY, 10065",139 E 66th St Apt 5S,New York City,New York,10065,,,40.766423,-73.9640148,"139 E 66th St #5s, New York, NY 10065, USA",ROOFTOP
for_sale,3895000,1,2,0.09,"119 W 22nd St Apt 2, New York City, NY, 10011",119 W 22nd St Apt 2,New York City,New York,10011,4400,,40.7427598,-73.9940528,"119 W 22nd St #2, New York, NY 10011, USA",ROOFTOP
for_sale,2490000,3,3,,"425 W 53rd St Apt 418, New York City, NY, 10019",425 W 53rd St Apt 418,New York City,New York,10019,,12/28/2011,40.7659512,-73.9884748,"425 W 53rd St #418, New York, NY 10019, USA",ROOFTOP
for_sale,3250000,3,2,,"10 Bleecker St Unit TH1, New York City, NY, 10012",10 Bleecker St Unit TH1,New York City,New York,10012,2000,7/3/2013,40.7252187,-73.9929764,"10 Bleecker St, New York, NY 10012, USA",ROOFTOP
for_sale,3500000,2,3,,"39 W 23rd St Apt 7A, New York City, NY, 10010",39 W 23rd St Apt 7A,New York City,New York,10010,1607,,40.7425001,-73.9908777,"39 W 23rd St #7a, New York, NY 10010, USA",ROOFTOP
for_sale,8500000,6,5,0.04,"New York City, NY, 10024",,New York City,New York,10024,5120,7/24/2008,40.7859464,-73.9741874,"New York, NY 10024, USA",APPROXIMATE
for_sale,445000,,1,,"408 W 57th St Apt 9G, New York City, NY, 10019",408 W 57th St Apt 9G,New York City,New York,10019,,9/5/2013,40.7680768,-73.98663,"The Geneva, 408 W 57th St #9g, New York, NY 10019, USA",ROOFTOP
for_sale,785000,2,1,,"158-18 Riverside Dr W Unit 6J, New York City, NY, 10032",158-18 Riverside Dr W Unit 6J,New York City,New York,10032,1039,,40.837124,-73.9478519,"158-18 Riverside Dr W #6j, New York, NY 10032, USA",ROOFTOP
for_sale,369000,2,2,,"33-45 92nd St Unit 3J, New York City, NY, 11369",33-45 92nd St Unit 3J,New York City,New York,11369,,,40.7550328,-73.875632,"33-45 92nd St #3j, Queens, NY 11372, USA",ROOFTOP
for_sale,1599000,8,4,0.05,"35-20 31st St, New York City, NY, 11106",35-20 31st St,New York City,New York,11106,2775,,40.7576927,-73.9292082,"35-20 31st St, Queens, NY 11106, USA",ROOFTOP
