status,price,bed,bath,acre_lot,full_address,street,city,state,zip_code,house_size,sold_date
for_sale,1900000,2,3,,"30 West St Apt 10B, New York City, NY, 10004",30 West St Apt 10B,New York City,New York,10004,1404,
for_sale,795000,1,1,,"245 E 54th St Apt 3S, New York City, NY, 10022",245 E 54th St Apt 3S,New York City,New York,10022,750,11/4/2016
for_sale,325000,1,1,,"65-15 38th Ave Unit 3J, New York City, NY, 11377",65-15 38th Ave Unit 3J,New York City,New York,11377,825,
for_sale,5175000,5,5,0.04,"212 E 32nd St, New York City, NY, 10016",212 E 32nd St,New York City,New York,10016,4080,12/26/1996
for_sale,2980000,4,4,,"669 Washington Ave, New York City, NY, 11238",669 Washington Ave,New York City,New York,11238,,10/6/2000
for_sale,3195000,2,3,,"425 W 50th St Apt 12H, New York City, NY, 10019",425 W 50th St Apt 12H,New York City,New York,10019,1851,5/2/2016
for_sale,8995000,6,4,0.04,"27 Bethune St, New York City, NY, 10014",27 Bethune St,New York City,New York,10014,3520,
for_sale,1250000,4,4,,"462 E 138th St, New York City, NY, 10454",462 E 138th St,New York City,New York,10454,,
for_sale,444999,2,1,,"65-15 38th Ave Unit 6W, New York City, NY, 11377",65-15 38th Ave Unit 6W,New York City,New York,11377,950,7/25/2014
for_sale,3000000,4,3,0.53,"211 E 18th St Unit 2RST, New York City, NY, 10003",211 E 18th St Unit 2RST,New York City,New York,10003,2150,3/13/2014
for_sale,17500000,5,6,,"114 E 65th St, New York City, NY, 10065",114 E 65th St,New York City,New York,10065,8000,5/30/2007
for_sale,550000,1,1,0.05,"682 Hancock St Unit 2B, New York City, NY, 11233",682 Hancock St Unit 2B,New York City,New York,11233,510,
for_sale,550000,1,1,0.05,"682 Hancock St Unit 3B, New York City, NY, 11233",682 Hancock St Unit 3B,New York City,New York,11233,510,
for_sale,550000,1,1,0.05,"682 Hancock St Unit 2A, New York City, NY, 11233",682 Hancock St Unit 2A,New York City,New York,11233,531,
for_sale,550000,1,1,0.05,"682 Hancock St Unit 3A, New York City, NY, 11233",682 Hancock St Unit 3A,New York City,New York,11233,531,
for_sale,549000,1,1,0.04,"479 Lexington Ave Unit 2A, New York City, NY, 11221",479 Lexington Ave Unit 2A,New York City,New York,11221,524,
for_sale,580000,,1,0.06,"145 Sullivan St Apt 4D, New York City, NY, 10012",145 Sullivan St Apt 4D,New York City,New York,10012,,9/17/2013
for_sale,799000,1,1,,"128 W 70th St Apt 9, New York City, NY, 10023",128 W 70th St Apt 9,New York City,New York,10023,,
for_sale,1075000,1,1,,"145 E 15th St Apt 15B, New York City, NY, 10003",145 E 15th St Apt 15B,New York City,New York,10003,,
for_sale,930000,2,2,,"300 W 135th St Apt 5E, New York City, NY, 10030",300 W 135th St Apt 5E,New York City,New York,10030,987,7/27/2018
for_sale,2965000,2,2,,"33 Park Unit 15B, New York City, NY, 10038",33 Park Unit 15B,New York City,New York,10038,1346,
for_sale,5375000,3,3,,"New York City, NY, 10010",,New York City,New York,10010,2432,
